Source,Target,Type,Weight
1,9,Directed,1
1,10,Directed,1
1,11,Directed,1
1,12,Directed,1
1,13,Directed,1
1,14,Directed,1
1,15,Directed,1
1,16,Directed,1
1,17,Directed,1
1,18,Directed,1
1,19,Directed,1
1,20,Directed,1
1,21,Directed,1
1,22,Directed,1
1,23,Directed,1
1,24,Directed,1
1,25,Directed,1
1,26,Directed,1
1,27,Directed,1
1,28,Directed,1
1,29,Directed,1
1,30,Directed,1
1,31,Directed,1
1,32,Directed,1
1,33,Directed,1
1,34,Directed,1
1,35,Directed,1
1,36,Directed,1
1,37,Directed,1
1,38,Directed,1
1,39,Directed,1
1,40,Directed,1
1,41,Directed,1
1,42,Directed,1
1,43,Directed,1
1,44,Directed,1
1,45,Directed,1
1,46,Directed,1
1,47,Directed,1
1,48,Directed,1
1,49,Directed,1
1,50,Directed,1
1,51,Directed,1
2,9,Directed,1
2,10,Directed,1
2,11,Directed,1
2,13,Directed,1
2,52,Directed,1
2,12,Directed,1
2,53,Directed,1
2,16,Directed,1
2,54,Directed,1
2,55,Directed,1
2,14,Directed,1
2,49,Directed,1
2,17,Directed,1
2,56,Directed,1
2,57,Directed,1
2,18,Directed,1
2,30,Directed,1
2,31,Directed,1
2,58,Directed,1
2,48,Directed,1
2,23,Directed,1
2,34,Directed,1
2,26,Directed,1
2,59,Directed,1
2,20,Directed,1
2,60,Directed,1
2,28,Directed,1
2,38,Directed,1
2,61,Directed,1
2,22,Directed,1
2,19,Directed,1
2,62,Directed,1
2,44,Directed,1
2,45,Directed,1
2,33,Directed,1
2,29,Directed,1
2,63,Directed,1
2,42,Directed,1
2,25,Directed,1
2,64,Directed,1
2,39,Directed,1
2,46,Directed,1
2,43,Directed,1
2,47,Directed,1
2,51,Directed,1
2,37,Directed,1
2,41,Directed,1
3,9,Directed,1
3,11,Directed,1
3,10,Directed,1
3,65,Directed,1
3,66,Directed,1
3,67,Directed,1
3,13,Directed,1
3,17,Directed,1
3,68,Directed,1
3,16,Directed,1
3,57,Directed,1
3,19,Directed,1
3,18,Directed,1
3,69,Directed,1
3,70,Directed,1
3,30,Directed,1
3,31,Directed,1
3,71,Directed,1
3,20,Directed,1
3,44,Directed,1
3,45,Directed,1
3,72,Directed,1
3,14,Directed,1
3,56,Directed,1
3,22,Directed,1
3,29,Directed,1
3,73,Directed,1
3,34,Directed,1
3,26,Directed,1
3,74,Directed,1
3,75,Directed,1
3,76,Directed,1
3,77,Directed,1
3,33,Directed,1
3,48,Directed,1
3,28,Directed,1
3,78,Directed,1
3,37,Directed,1
3,79,Directed,1
3,49,Directed,1
3,46,Directed,1
3,80,Directed,1
4,9,Directed,1
4,10,Directed,1
4,11,Directed,1
4,81,Directed,1
4,13,Directed,1
4,82,Directed,1
4,24,Directed,1
4,83,Directed,1
4,84,Directed,1
4,17,Directed,1
4,14,Directed,1
4,30,Directed,1
4,31,Directed,1
4,85,Directed,1
4,19,Directed,1
4,68,Directed,1
4,71,Directed,1
4,49,Directed,1
4,86,Directed,1
4,87,Directed,1
4,88,Directed,1
4,56,Directed,1
4,16,Directed,1
4,89,Directed,1
4,73,Directed,1
4,90,Directed,1
4,55,Directed,1
4,91,Directed,1
4,29,Directed,1
4,92,Directed,1
4,93,Directed,1
4,66,Directed,1
4,59,Directed,1
4,57,Directed,1
4,33,Directed,1
4,34,Directed,1
4,37,Directed,1
4,44,Directed,1
4,45,Directed,1
4,94,Directed,1
4,95,Directed,1
4,96,Directed,1
4,35,Directed,1
4,36,Directed,1
4,26,Directed,1
4,46,Directed,1
4,58,Directed,1
5,9,Directed,1
5,11,Directed,1
5,10,Directed,1
5,97,Directed,1
5,98,Directed,1
5,19,Directed,1
5,66,Directed,1
5,13,Directed,1
5,49,Directed,1
5,30,Directed,1
5,31,Directed,1
5,17,Directed,1
5,22,Directed,1
5,89,Directed,1
5,56,Directed,1
5,55,Directed,1
5,57,Directed,1
5,68,Directed,1
5,99,Directed,1
5,24,Directed,1
5,34,Directed,1
5,100,Directed,1
5,14,Directed,1
5,69,Directed,1
5,48,Directed,1
5,101,Directed,1
5,29,Directed,1
5,102,Directed,1
5,94,Directed,1
5,73,Directed,1
5,90,Directed,1
5,103,Directed,1
5,104,Directed,1
5,16,Directed,1
5,44,Directed,1
5,45,Directed,1
5,18,Directed,1
5,20,Directed,1
5,33,Directed,1
5,95,Directed,1
5,105,Directed,1
5,106,Directed,1
5,79,Directed,1
5,26,Directed,1
5,37,Directed,1
5,28,Directed,1
5,36,Directed,1
5,35,Directed,1
5,82,Directed,1
5,96,Directed,1
5,38,Directed,1
5,58,Directed,1
6,9,Directed,1
6,13,Directed,1
6,10,Directed,1
6,11,Directed,1
6,107,Directed,1
6,17,Directed,1
6,49,Directed,1
6,16,Directed,1
6,54,Directed,1
6,68,Directed,1
6,100,Directed,1
6,14,Directed,1
6,75,Directed,1
6,98,Directed,1
6,108,Directed,1
6,56,Directed,1
6,104,Directed,1
6,101,Directed,1
6,19,Directed,1
6,109,Directed,1
6,48,Directed,1
6,110,Directed,1
6,111,Directed,1
6,112,Directed,1
6,47,Directed,1
6,30,Directed,1
6,31,Directed,1
6,113,Directed,1
6,114,Directed,1
6,38,Directed,1
6,63,Directed,1
6,62,Directed,1
6,80,Directed,1
6,37,Directed,1
6,115,Directed,1
6,29,Directed,1
6,33,Directed,1
6,26,Directed,1
6,34,Directed,1
6,44,Directed,1
6,45,Directed,1
6,73,Directed,1
6,90,Directed,1
6,95,Directed,1
6,89,Directed,1
6,71,Directed,1
6,58,Directed,1
7,9,Directed,1
7,11,Directed,1
7,10,Directed,1
7,24,Directed,1
7,116,Directed,1
7,68,Directed,1
7,53,Directed,1
7,100,Directed,1
7,117,Directed,1
7,118,Directed,1
7,98,Directed,1
7,119,Directed,1
7,55,Directed,1
7,108,Directed,1
7,16,Directed,1
7,105,Directed,1
7,31,Directed,1
7,30,Directed,1
7,104,Directed,1
7,49,Directed,1
7,120,Directed,1
7,121,Directed,1
7,56,Directed,1
7,122,Directed,1
7,123,Directed,1
7,94,Directed,1
7,85,Directed,1
7,124,Directed,1
7,17,Directed,1
7,48,Directed,1
7,21,Directed,1
7,40,Directed,1
7,71,Directed,1
7,96,Directed,1
7,101,Directed,1
7,99,Directed,1
7,125,Directed,1
7,126,Directed,1
7,13,Directed,1
7,127,Directed,1
7,128,Directed,1
7,129,Directed,1
7,130,Directed,1
7,26,Directed,1
7,131,Directed,1
7,132,Directed,1
7,133,Directed,1
7,87,Directed,1
7,88,Directed,1
7,113,Directed,1
7,114,Directed,1
7,29,Directed,1
7,95,Directed,1
7,45,Directed,1
7,109,Directed,1
7,90,Directed,1
7,19,Directed,1
7,111,Directed,1
7,18,Directed,1
7,22,Directed,1
7,20,Directed,1
7,67,Directed,1
7,79,Directed,1
8,9,Directed,1
8,11,Directed,1
8,10,Directed,1
8,24,Directed,1
8,17,Directed,1
8,19,Directed,1
8,13,Directed,1
8,40,Directed,1
8,49,Directed,1
8,14,Directed,1
8,133,Directed,1
8,21,Directed,1
8,134,Directed,1
8,16,Directed,1
8,98,Directed,1
8,135,Directed,1
8,48,Directed,1
8,100,Directed,1
8,35,Directed,1
8,136,Directed,1
8,96,Directed,1
8,108,Directed,1
8,55,Directed,1
8,104,Directed,1
8,37,Directed,1
8,112,Directed,1
8,29,Directed,1
8,89,Directed,1
8,45,Directed,1
8,68,Directed,1
8,56,Directed,1
8,75,Directed,1
8,90,Directed,1
8,33,Directed,1
8,99,Directed,1
8,113,Directed,1
8,114,Directed,1
8,31,Directed,1
8,30,Directed,1
8,107,Directed,1
8,115,Directed,1
8,111,Directed,1
8,47,Directed,1
8,109,Directed,1
8,118,Directed,1
8,95,Directed,1
8,124,Directed,1
8,85,Directed,1
8,101,Directed,1
8,110,Directed,1
8,126,Directed,1
8,36,Directed,1
8,66,Directed,1
8,60,Directed,1
8,34,Directed,1
8,28,Directed,1
8,69,Directed,1
8,62,Directed,1
8,71,Directed,1
8,25,Directed,1
